rank,reranker_score,hybrid_score,dense_score,bm25_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,7.282875,0.35826453344840997,0.0,22.65209271932326,doc_08837_64101fc0_chunk_0,doc_08837_64101fc0,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi hukuk doktrinleri önemlidir?,"Haksız zenginleşme ile ilgili önemli hukuk doktrinleri arasında, zenginleşmenin haksızlığı, iyi niyetin önemi, geri vermenin kapsamı ve zamanaşımı süresinin hesaplanması gibi konularla ilgili doktrinler yer almaktadır.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi hukuk doktrinleri önemlidir? Answer: Haksız zenginleşme ile ilgili önemli hukuk doktrinleri arasında, zenginleşmenin haksızlığı, iyi niyetin önemi, geri vermenin kapsamı ve zamanaşımı süresinin hesaplanması gibi konularla ilgili doktrinler yer almaktadır.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
2,7.105683,0.291013801688673,0.0,21.141275137762772,doc_08859_4f2a881a_chunk_0,doc_08859_4f2a881a,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi yasal maddeler önemlidir?,"Türk Borçlar Kanunu'nun haksız zenginleşmeye ilişkin maddeleri bu konuda önemlidir. Özellikle, Türk Borçlar Kanunu'nun 77. ila 82. maddeleri, haksız zenginleşmeyi düzenleyen temel hükümleri içerir. Bu maddeler, haksız zenginleşmenin koşullarını, geri vermenin kapsamını, zamanaşımını ve diğer önemli konuları düzenler. Bu maddeleri incelemek, haksız zenginleşme ile ilgili temel kavramları ve hukuki sonuçları anlamak için gereklidir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi yasal maddeler önemlidir? Answer: Türk Borçlar Kanunu'nun haksız zenginleşmeye ilişkin maddeleri bu konuda önemlidir. Özellikle, Türk Borçlar Kanunu'nun 77. ila 82. maddeleri, haksız zenginleşmeyi düzenleyen temel hükümleri içerir. Bu maddeler, haksız zenginleşmenin koşullarını, geri vermenin kapsamını, zamanaşımını ve diğer önemli konuları düzenler. Bu maddeleri incelemek, haksız zenginleşme ile ilgili temel kavramları ve hukuki sonuçları anlamak için gereklidir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
3,6.8199577,0.5,0.0,25.83624297603503,doc_08869_bcd59b52_chunk_0,doc_08869_bcd59b52,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi uluslararası sözleşmeler önemlidir?,"Bu konuda önemli uluslararası sözleşmeler, Avrupa Birliği'nin tüketici koruma sözleşmeleri veya uluslararası özel hukuk sözleşmeleri olabilir. Avrupa Birliği'nin tüketici koruma sözleşmeleri, haksız zenginleşme ile ilgili bazı hükümler içerebilir, özellikle tüketicilerle ilgili konularda. Uluslararası özel hukuk sözleşmeleri ise, farklı ülkelerin hukuk sistemleri arasında çakışma durumlarında uygulanacak kuralları belirler. Bu sözleşmeler, haksız zenginleşme ile ilgili bazı kavramları ve hukuki sonuçları düzenleyebilir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi uluslararası sözleşmeler önemlidir? Answer: Bu konuda önemli uluslararası sözleşmeler, Avrupa Birliği'nin tüketici koruma sözleşmeleri veya uluslararası özel hukuk sözleşmeleri olabilir. Avrupa Birliği'nin tüketici koruma sözleşmeleri, haksız zenginleşme ile ilgili bazı hükümler içerebilir, özellikle tüketicilerle ilgili konularda. Uluslararası özel hukuk sözleşmeleri ise, farklı ülkelerin hukuk sistemleri arasında çakışma durumlarında uygulanacak kuralları belirler. Bu sözleşmeler, haksız zenginleşme ile ilgili bazı kavramları ve hukuki sonuçları düzenleyebilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
4,6.5609174,0.23203489027080715,0.0,19.81628767696077,doc_08868_2ad2541b_chunk_0,doc_08868_2ad2541b,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi hukuk doktrinleri önemlidir?,"Bu konuda önemli hukuk doktrinleri, Borçlar Hukuku doktrinleri veya Medeni Hukuk doktrinleri olabilir. Hukuk doktrinleri, hukukçular tarafından geliştirilen ve hukuk uygulamasına yön veren görüşlerdir. Borçlar Hukuku doktrinleri ve Medeni Hukuk doktrinleri, haksız zenginleşme ile ilgili önemli kavramları ve hukuki sonuçları açıklayan ve yorumlayan görüşler içerir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi hukuk doktrinleri önemlidir? Answer: Bu konuda önemli hukuk doktrinleri, Borçlar Hukuku doktrinleri veya Medeni Hukuk doktrinleri olabilir. Hukuk doktrinleri, hukukçular tarafından geliştirilen ve hukuk uygulamasına yön veren görüşlerdir. Borçlar Hukuku doktrinleri ve Medeni Hukuk doktrinleri, haksız zenginleşme ile ilgili önemli kavramları ve hukuki sonuçları açıklayan ve yorumlayan görüşler içerir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
5,6.514716,0.25707942485987256,0.0,20.378924278661113,doc_08870_807b3016_chunk_0,doc_08870_807b3016,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi kitaplar ve makaleler önemlidir?,"Bu konuda önemli kitaplar ve makaleler, Borçlar Hukuku alanında uzman kişiler tarafından yazılmış akademik yayınlardır. Bu yayınlar, haksız zenginleşme ile ilgili detaylı bilgi, analiz ve yorumlar içerir. Hukuk fakültelerinin kütüphaneleri, bu yayınlara erişim sağlamak için en iyi yerlerden biridir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi kitaplar ve makaleler önemlidir? Answer: Bu konuda önemli kitaplar ve makaleler, Borçlar Hukuku alanında uzman kişiler tarafından yazılmış akademik yayınlardır. Bu yayınlar, haksız zenginleşme ile ilgili detaylı bilgi, analiz ve yorumlar içerir. Hukuk fakültelerinin kütüphaneleri, bu yayınlara erişim sağlamak için en iyi yerlerden biridir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
1,6.9526935,0.5,0.0,22.860149741123497,doc_05311_ecc9bb1b_chunk_0,doc_05311_ecc9bb1b,Türk Medeni Kanunu,hukuk,"Bir miras bırakan, malvarlığının tamamında veya bir kısmında nasıl tasarruf edebilir?","Bir miras bırakan, tasarruf özgürlüğünün sınırları içinde, malvarlığının tamamında veya bir kısmında vasiyetname ya da miras sözleşmesiyle tasarrufta bulunabilir. Vasiyetname, miras bırakanın ölümünden sonra malvarlığının nasıl paylaştırılacağını belirleyen bir belgedir. Miras sözleşmesi ise, miras bırakanın yaşarken, mirasını nasıl paylaştıracağına dair bir anlaşma yapmasını sağlar. Her iki durumda da, miras bırakan, malvarlığının tamamında veya bir kısmında dilediği gibi tasarruf edebilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Bir miras bırakan, malvarlığının tamamında veya bir kısmında nasıl tasarruf edebilir? Answer: Bir miras bırakan, tasarruf özgürlüğünün sınırları içinde, malvarlığının tamamında veya bir kısmında vasiyetname ya da miras sözleşmesiyle tasarrufta bulunabilir. Vasiyetname, miras bırakanın ölümünden sonra malvarlığının nasıl paylaştırılacağını belirleyen bir belgedir. Miras sözleşmesi ise, miras bırakanın yaşarken, mirasını nasıl paylaştıracağına dair bir anlaşma yapmasını sağlar. Her iki durumda da, miras bırakan, malvarlığının tamamında veya bir kısmında dilediği gibi tasarruf edebilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
2,6.077268,0.3705114284671855,0.0,21.251495029538702,doc_05312_659acb6f_chunk_0,doc_05312_659acb6f,Türk Medeni Kanunu,hukuk,Miras bırakanın tasarruf etmediği kısım kime kalır?,"Miras bırakanın üzerinde tasarruf etmediği kısım yasal mirasçılarına kalır. Yasal mirasçılar, kanunda belirtilen sıraya göre miras payı alma hakkına sahip kişilerdir. Örneğin, miras bırakanın eşi, çocukları, anne ve babası, kardeşleri gibi. Miras bırakan, vasiyetname veya miras sözleşmesiyle bu payı değiştirme hakkına sahiptir, ancak yasal mirasçıların saklı paylarını elinden alamaz.","Source: Türk Medeni Kanunu Category: hukuk Question: Miras bırakanın tasarruf etmediği kısım kime kalır? Answer: Miras bırakanın üzerinde tasarruf etmediği kısım yasal mirasçılarına kalır. Yasal mirasçılar, kanunda belirtilen sıraya göre miras payı alma hakkına sahip kişilerdir. Örneğin, miras bırakanın eşi, çocukları, anne ve babası, kardeşleri gibi. Miras bırakan, vasiyetname veya miras sözleşmesiyle bu payı değiştirme hakkına sahiptir, ancak yasal mirasçıların saklı paylarını elinden alamaz.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
3,6.0710993,0.4985579240017924,0.6194385290145874,21.323692841008267,doc_05299_c707d08d_chunk_0,doc_05299_c707d08d,Türk Medeni Kanunu,hukuk,Miras bırakanın sağlararası karşılıksız kazandırmaları tasarruf edilebilir kısım hesabında nasıl dikkate alınır?,"Miras bırakanın sağlararası karşılıksız kazandırmaları, tenkise tabi oldukları ölçüde, tasarruf edilebilir kısmın hesabında terekeye eklenir. Sağlararası karşılıksız kazandırma, bir kişinin karşılık beklemeden bir başkasına mal veya para vermesi durumudur. Bu durum, miras bırakanın ölümünden sonra saklı paylı mirasçılar tarafından tenkis davası açılarak, kazandırılan malın değeri miras bırakanın ölüm günü itibarıyla hesaplanarak terekeye eklenmesini ve mirasın yeniden paylaştırılmasını talep edebilmeleri anlamına gelir.","Source: Türk Medeni Kanunu Category: hukuk Question: Miras bırakanın sağlararası karşılıksız kazandırmaları tasarruf edilebilir kısım hesabında nasıl dikkate alınır? Answer: Miras bırakanın sağlararası karşılıksız kazandırmaları, tenkise tabi oldukları ölçüde, tasarruf edilebilir kısmın hesabında terekeye eklenir. Sağlararası karşılıksız kazandırma, bir kişinin karşılık beklemeden bir başkasına mal veya para vermesi durumudur. Bu durum, miras bırakanın ölümünden sonra saklı paylı mirasçılar tarafından tenkis davası açılarak, kazandırılan malın değeri miras bırakanın ölüm günü itibarıyla hesaplanarak terekeye eklenmesini ve mirasın yeniden paylaştırılmasını talep edebilmeleri anlamına gelir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
4,5.9916806,0.5,0.7134948968887329,0.0,doc_05427_2989d6d2_chunk_1,doc_05427_2989d6d2,Türk Medeni Kanunu,hukuk,Ölüme bağlı bir tasarrufun geçersiz sayılabileceği durumlar nelerdir?,"Bir ölüme bağlı tasarruf, bazı durumlarda geçersiz sayılabilir. Bunlar arasında, miras bırakıcının tasarruf ehliyeti olmaması, tasarrufun yanılma, aldatma, korkutma veya zorlama sonucunda yapılmış olması, tasarrufun içeriğinin hukuka veya ahlâka aykırı olması veya tasarrufun kanunda öngörülen şekillere uyulmadan yapılmış olması sayılabilir. Örneğin, miras bırakıcının akıl sağlığı yerinde değilse veya tasarrufu yaparken zorlama veya aldatmaya maruz kalmışsa, tasarruf geçersiz olabilir. Ayrıca, tasarrufun hukuka aykırı olması da geçersizliğine neden olabilir. Örneğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.","neğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
5,5.9540277,0.3977949369034542,0.0,21.590441886971945,doc_05249_936d14f6_chunk_0,doc_05249_936d14f6,Türk Medeni Kanunu,hukuk,Miras bırakanın mirasının tamamında tasarruf edebilmesi için hangi şartın gerçekleşmesi gerekir?,"Miras bırakanın mirasının tamamında tasarruf edebilmesi için, mirasçı olarak altsoyu, ana ve babası veya eşi olmamalıdır. Yani, miras bırakanın yasal mirasçısı yoksa, tüm mirasını kendi isteğine göre mirasçılarına bırakabilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Miras bırakanın mirasının tamamında tasarruf edebilmesi için hangi şartın gerçekleşmesi gerekir? Answer: Miras bırakanın mirasının tamamında tasarruf edebilmesi için, mirasçı olarak altsoyu, ana ve babası veya eşi olmamalıdır. Yani, miras bırakanın yasal mirasçısı yoksa, tüm mirasını kendi isteğine göre mirasçılarına bırakabilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
