id,legal_domain,question_type,difficulty,question,gold_answer,suggested_source_law,suggested_article_reference,source_url,verification_status,review_priority,notes
1,Anayasa Hukuku,procedure,easy,Anayasa Mahkemesi'ne bireysel baþvuru yapýlabilmesi için olaðan kanun yollarýnýn tüketilme þartý nedir?,"Bireysel baþvuru yapýlabilmesi için ihlale iliþkin olaðan kanun yollarýnýn tüketilmiþ olmasý gerekir. Baþvuru, nihai kararýn veya baþvuru yolunun tüketildiði iþlemin öðrenilmesinden sonra kanundaki süre içinde yapýlýr.",2709 Sayýlý Anayasa,Madde 148,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
52,Anayasa Hukuku,exception,medium,Milletlerarasý antlaþmalarýn Anayasa'ya aykýrýlýðý iddiasýyla iptal davasý açýlabilir mi? Ýstisnalarý nelerdir?,Milletlerarasý antlaþmalarýn Anayasa’ya aykýrýlýðý iddiasýyla Anayasa Mahkemesinde iptal davasý açýlamaz. Usulüne göre yürürlüðe konulmuþ temel hak ve özgürlüklere iliþkin antlaþmalarla kanunlarýn çatýþmasý halinde antlaþma hükümleri esas alýnýr.,2709 Sayýlý Anayasa,Madde 90,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
53,Anayasa Hukuku,procedure,easy,"TBMM Genel Kurulu'nda kabul edilen bir kanunun Cumhurbaþkaný tarafýndan ""geri gönderilme"" (veto) süreci nasýl iþler?","Cumhurbaþkaný, TBMM tarafýndan kabul edilen kanunu on beþ gün içinde yayýmlar veya bir daha görüþülmek üzere gerekçesiyle TBMM’ye geri gönderir. TBMM kanunu üye tam sayýsýnýn salt çoðunluðuyla aynen kabul ederse Cumhurbaþkaný kanunu yayýmlar.",2709 Sayýlý Anayasa,Madde 89,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
101,Anayasa Hukuku,procedure,medium,"Anayasa Mahkemesi'nin ""þekil bakýmýndan"" denetimi neleri kapsar ve dava açma süresi kaç gündür?","Þekil bakýmýndan denetim, kanunlarda son oylamanýn öngörülen çoðunlukla yapýlýp yapýlmadýðýna; anayasa deðiþikliklerinde ise teklif ve oylama çoðunluðu ile ivedilikle görüþülememe þartýna uyulup uyulmadýðýna iliþkindir. Þekil bakýmýndan iptal davasý, kanunun yayýmlanmasýndan itibaren on gün içinde açýlýr.",2709 Sayýlý Anayasa,Madde 148,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
102,Anayasa Hukuku,exception,medium,"Kanun Hükmünde Kararnamelerin (KHK) yerini alan ""Cumhurbaþkanlýðý Kararnameleri"" hangi konularda düzenlenemez?","Cumhurbaþkanlýðý kararnameleri; temel haklar, kiþi haklarý ve ödevleri ile siyasi haklar ve ödevler alanýnda düzenleme yapamaz. Kanunda açýkça düzenlenen konularda da kararname çýkarýlamaz; kanun ile kararname çatýþýrsa kanun uygulanýr.",2709 Sayýlý Anayasa,Madde 104,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
103,Anayasa Hukuku,comparison,medium,Yasama sorumsuzluðu ile yasama dokunulmazlýðý arasýndaki süreklilik farký nedir?,"Yasama sorumsuzluðu, milletvekilinin Meclis çalýþmalarýndaki oy ve sözlerinden dolayý hiçbir zaman sorumlu tutulamamasýdýr ve süreklidir. Yasama dokunulmazlýðý ise milletvekilinin seçimden önce veya sonra iþlendiði ileri sürülen suç nedeniyle, Anayasadaki istisnalar dýþýnda, Meclis kararý olmadýkça tutulamamasý, sorgulanamamasý, tutuklanamamasý ve yargýlanamamasýdýr; kural olarak görev süresine baðlýdýr.",2709 Sayýlý Anayasa,Madde 83,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
151,Anayasa Hukuku,procedure,medium,"Anayasa Mahkemesi'ne ""itiraz yolu"" (somut norm denetimi) ile baþvurabilmek için alt mahkemenin uymasý gereken þartlar nelerdir?","Somut norm denetimi için görülmekte olan bir dava bulunmalý, uygulanacak kuralýn anayasaya aykýrýlýðý iddia edilmeli veya mahkeme bunu ciddi bulmalýdýr. Mahkeme, itirazý ciddi bulursa Anayasa Mahkemesine baþvurur ve davayý geri býrakýr.",2709 Sayýlý Anayasa,Madde 152,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
202,Anayasa Hukuku,procedure,easy,Anayasa Mahkemesi üyelerinin görev süresi kaç yýldýr ve bir kiþi kaç kez seçilebilir?,Anayasa Mahkemesi üyeleri on iki yýl için seçilir ve bir kimse ikinci kez seçilemez. Üyeler altmýþ beþ yaþýný doldurunca emekliye ayrýlýr.,2709 Sayýlý Anayasa,Madde 147,https://www.anayasa.gov.tr/tr/mevzuat/anayasa/,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
13,Borçlar Hukuku,procedure,medium,Sözleþmelerde hata (yanýlma) nedeniyle iptal hakkýnýn kullanýlma süresi nedir?,"Hata sebebiyle sözleþmeyi iptal hakký, hatanýn öðrenildiði tarihten baþlayarak bir yýl içinde kullanýlmalýdýr. Bu süre hak düþürücü süredir.",6098 Sayýlý Türk Borçlar Kanunu,Madde 39,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,medium,Statute-centered draft; human verification recommended before final evaluation use.
16,Borçlar Hukuku,exception,hard,"Borçlar hukukunda ""temerrüt faizi"" baþlangýcý için ihtar þartý hangi durumlarda aranmaz?",Borç muaccel olduðu halde ifa günü taraflarca birlikte belirlenmiþse veya sözleþmede saklý tutulmuþ bir bildirimle belirlenebiliyorsa ihtar gerekmeden temerrüt gerçekleþir. Borçlu ifayý açýkça reddetmiþse de ihtar aranmaz.,6098 Sayýlý Türk Borçlar Kanunu,Madde 117,https://mgm.adalet.gov.tr/Resimler/SayfaDokuman/181020191500286098.pdf,gold_draft_assistant_prepared,high,Statute-centered draft; human verification recommended before final evaluation use.
