rank,hybrid_score,dense_score,bm25_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,0.8241827034249323,0.7005964517593384,21.88642925866105,doc_08831_088fa685_chunk_0,doc_08831_088fa685,Türk Borçlar Kanunu,hukuk,Sebepsiz zenginleşme ile ilgili hangi hukuka aykırı sonuçlar ortaya çıkabilir?,"Sebepsiz zenginleşme ile ilgili hukuka aykırı sonuçlar, örneğin bir suçun işlenmesi veya haksız rekabetin ortaya çıkması gibi durumlar olabilir. Örneğin, bir kişi, başkasının malını çalarak zenginleşirse, bu durum hem haksız zenginleşme hem de hırsızlık suçuna yol açabilir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Sebepsiz zenginleşme ile ilgili hangi hukuka aykırı sonuçlar ortaya çıkabilir? Answer: Sebepsiz zenginleşme ile ilgili hukuka aykırı sonuçlar, örneğin bir suçun işlenmesi veya haksız rekabetin ortaya çıkması gibi durumlar olabilir. Örneğin, bir kişi, başkasının malını çalarak zenginleşirse, bu durum hem haksız zenginleşme hem de hırsızlık suçuna yol açabilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
2,0.5,0.0,25.83624297603503,doc_08869_bcd59b52_chunk_0,doc_08869_bcd59b52,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi uluslararası sözleşmeler önemlidir?,"Bu konuda önemli uluslararası sözleşmeler, Avrupa Birliği'nin tüketici koruma sözleşmeleri veya uluslararası özel hukuk sözleşmeleri olabilir. Avrupa Birliği'nin tüketici koruma sözleşmeleri, haksız zenginleşme ile ilgili bazı hükümler içerebilir, özellikle tüketicilerle ilgili konularda. Uluslararası özel hukuk sözleşmeleri ise, farklı ülkelerin hukuk sistemleri arasında çakışma durumlarında uygulanacak kuralları belirler. Bu sözleşmeler, haksız zenginleşme ile ilgili bazı kavramları ve hukuki sonuçları düzenleyebilir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Haksız zenginleşme ile ilgili hangi uluslararası sözleşmeler önemlidir? Answer: Bu konuda önemli uluslararası sözleşmeler, Avrupa Birliği'nin tüketici koruma sözleşmeleri veya uluslararası özel hukuk sözleşmeleri olabilir. Avrupa Birliği'nin tüketici koruma sözleşmeleri, haksız zenginleşme ile ilgili bazı hükümler içerebilir, özellikle tüketicilerle ilgili konularda. Uluslararası özel hukuk sözleşmeleri ise, farklı ülkelerin hukuk sistemleri arasında çakışma durumlarında uygulanacak kuralları belirler. Bu sözleşmeler, haksız zenginleşme ile ilgili bazı kavramları ve hukuki sonuçları düzenleyebilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
3,0.4155940724966241,0.6863272190093994,0.0,doc_08875_53c2cc7e_chunk_1,doc_08875_53c2cc7e,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi sorunlar ortaya çıkabilir?,"Haksız zenginleşmenin tespiti, haksız zenginleşmenin geri verilmesi kapsamının belirlenmesi, zamanaşımının hesaplanması, iyi niyetin ispatı gibi sorunlar ortaya çıkabilir. Haksız zenginleşmenin tespiti, haksız zenginleşmenin gerçekleşip gerçekleşmediğinin belirlenmesi, haksız zenginleşen kişinin kim olduğu, haksız zenginleşmenin nedeni ve haksız zenginleşmenin büyüklüğünün belirlenmesi gibi konuları içerir. Haksız zenginleşmenin geri verilmesi kapsamının belirlenmesi, haksız zenginleşen kişinin ne kadar geri vermesi gerektiğinin belirlenmesi gibi konuları içerir. Zamanaşımının hesaplanması, talep hakkının zamanaşımına uğrayıp uğramadığının belirlenmesi gibi konuları içerir. İyi niyetin ispatı, haksız zenginleşen kişinin, zenginleşmenin haksız olduğunu bilmeden elde edip etmediğinin belirlenmesi gibi konuları içerir.","naşımının hesaplanması, talep hakkının zamanaşımına uğrayıp uğramadığının belirlenmesi gibi konuları içerir. İyi niyetin ispatı, haksız zenginleşen kişinin, zenginleşmenin haksız olduğunu bilmeden elde edip etmediğinin belirlenmesi gibi konuları içerir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
4,0.3766245808755866,0.679739236831665,0.0,doc_06946_4d69a544_chunk_0,doc_06946_4d69a544,Türk Medeni Kanunu,hukuk,"Hediye aynen veya mislen geri verilemiyorsa, sebepsiz zenginleşme hükümleri neden uygulanır?","Sebepsiz zenginleşme hükümleri, bir tarafın diğerinin kaybından faydalanmasını engellemek ve adaletli bir denge oluşturmak için uygulanır.","Source: Türk Medeni Kanunu Category: hukuk Question: Hediye aynen veya mislen geri verilemiyorsa, sebepsiz zenginleşme hükümleri neden uygulanır? Answer: Sebepsiz zenginleşme hükümleri, bir tarafın diğerinin kaybından faydalanmasını engellemek ve adaletli bir denge oluşturmak için uygulanır.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
5,0.372060840470054,0.6789677143096924,0.0,doc_08850_92bd892d_chunk_1,doc_08850_92bd892d,Türk Borçlar Kanunu,hukuk,Haksız zenginleşen kişi yaptığı masrafları geri isteyebilir mi?,"Haksız zenginleşen kişi, iyi niyetli ise, yaptığı zorunlu ve yararlı giderleri geri verme isteminde bulunan kişiden isteyebilir. Türk Borçlar Kanunu'nun 80. maddesine göre, zenginleşen iyiniyetli ise, yaptığı zorunlu ve yararlı giderleri, geri verme isteminde bulunandan isteyebilir. Ancak, zenginleşen iyiniyetli değilse, zorunlu giderlerinin ve yararlı giderlerinden sadece geri verme zamanında mevcut olan değer artışının ödenmesini isteyebilir. Yani, kişinin iyi niyetle, yani zenginleşmenin haksız olduğunu bilmeden, yaptığı zorunlu ve yararlı giderleri geri isteme hakkı vardır. Ancak, kötü niyetle, yani zenginleşmenin haksız olduğunu bilerek, yaptığı giderleri geri isteme hakkı yoktur. Bu durumda, yalnızca geri verme zamanında mevcut olan değer artışını geri isteyebilir.","kkı vardır. Ancak, kötü niyetle, yani zenginleşmenin haksız olduğunu bilerek, yaptığı giderleri geri isteme hakkı yoktur. Bu durumda, yalnızca geri verme zamanında mevcut olan değer artışını geri isteyebilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
1,0.5,0.7134948968887329,0.0,doc_05427_2989d6d2_chunk_1,doc_05427_2989d6d2,Türk Medeni Kanunu,hukuk,Ölüme bağlı bir tasarrufun geçersiz sayılabileceği durumlar nelerdir?,"Bir ölüme bağlı tasarruf, bazı durumlarda geçersiz sayılabilir. Bunlar arasında, miras bırakıcının tasarruf ehliyeti olmaması, tasarrufun yanılma, aldatma, korkutma veya zorlama sonucunda yapılmış olması, tasarrufun içeriğinin hukuka veya ahlâka aykırı olması veya tasarrufun kanunda öngörülen şekillere uyulmadan yapılmış olması sayılabilir. Örneğin, miras bırakıcının akıl sağlığı yerinde değilse veya tasarrufu yaparken zorlama veya aldatmaya maruz kalmışsa, tasarruf geçersiz olabilir. Ayrıca, tasarrufun hukuka aykırı olması da geçersizliğine neden olabilir. Örneğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.","neğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
2,0.5,0.0,22.860149741123497,doc_05311_ecc9bb1b_chunk_0,doc_05311_ecc9bb1b,Türk Medeni Kanunu,hukuk,"Bir miras bırakan, malvarlığının tamamında veya bir kısmında nasıl tasarruf edebilir?","Bir miras bırakan, tasarruf özgürlüğünün sınırları içinde, malvarlığının tamamında veya bir kısmında vasiyetname ya da miras sözleşmesiyle tasarrufta bulunabilir. Vasiyetname, miras bırakanın ölümünden sonra malvarlığının nasıl paylaştırılacağını belirleyen bir belgedir. Miras sözleşmesi ise, miras bırakanın yaşarken, mirasını nasıl paylaştıracağına dair bir anlaşma yapmasını sağlar. Her iki durumda da, miras bırakan, malvarlığının tamamında veya bir kısmında dilediği gibi tasarruf edebilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Bir miras bırakan, malvarlığının tamamında veya bir kısmında nasıl tasarruf edebilir? Answer: Bir miras bırakan, tasarruf özgürlüğünün sınırları içinde, malvarlığının tamamında veya bir kısmında vasiyetname ya da miras sözleşmesiyle tasarrufta bulunabilir. Vasiyetname, miras bırakanın ölümünden sonra malvarlığının nasıl paylaştırılacağını belirleyen bir belgedir. Miras sözleşmesi ise, miras bırakanın yaşarken, mirasını nasıl paylaştıracağına dair bir anlaşma yapmasını sağlar. Her iki durumda da, miras bırakan, malvarlığının tamamında veya bir kısmında dilediği gibi tasarruf edebilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
3,0.4985579240017924,0.6194385290145874,21.323692841008267,doc_05299_c707d08d_chunk_0,doc_05299_c707d08d,Türk Medeni Kanunu,hukuk,Miras bırakanın sağlararası karşılıksız kazandırmaları tasarruf edilebilir kısım hesabında nasıl dikkate alınır?,"Miras bırakanın sağlararası karşılıksız kazandırmaları, tenkise tabi oldukları ölçüde, tasarruf edilebilir kısmın hesabında terekeye eklenir. Sağlararası karşılıksız kazandırma, bir kişinin karşılık beklemeden bir başkasına mal veya para vermesi durumudur. Bu durum, miras bırakanın ölümünden sonra saklı paylı mirasçılar tarafından tenkis davası açılarak, kazandırılan malın değeri miras bırakanın ölüm günü itibarıyla hesaplanarak terekeye eklenmesini ve mirasın yeniden paylaştırılmasını talep edebilmeleri anlamına gelir.","Source: Türk Medeni Kanunu Category: hukuk Question: Miras bırakanın sağlararası karşılıksız kazandırmaları tasarruf edilebilir kısım hesabında nasıl dikkate alınır? Answer: Miras bırakanın sağlararası karşılıksız kazandırmaları, tenkise tabi oldukları ölçüde, tasarruf edilebilir kısmın hesabında terekeye eklenir. Sağlararası karşılıksız kazandırma, bir kişinin karşılık beklemeden bir başkasına mal veya para vermesi durumudur. Bu durum, miras bırakanın ölümünden sonra saklı paylı mirasçılar tarafından tenkis davası açılarak, kazandırılan malın değeri miras bırakanın ölüm günü itibarıyla hesaplanarak terekeye eklenmesini ve mirasın yeniden paylaştırılmasını talep edebilmeleri anlamına gelir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
4,0.446445239184967,0.0,22.194831425436714,doc_05297_e576c608_chunk_0,doc_05297_e576c608,Türk Medeni Kanunu,hukuk,Tasarruf edilebilir kısım ne zaman hesaplanır?,"Tasarruf edilebilir kısım, terekenin miras bırakanın ölüm günü itibarıyla durumuna göre hesaplanır. Yani, miras bırakanın ölümünden sonra terekenin değeri hesaplanır ve bu değerden miras bırakanın borçları, cenaze giderleri, terekenin mühürlenmesi ve yazımı giderleri, miras bırakan ile birlikte yaşayan ve onun tarafından bakılan kimselerin üç aylık geçim giderleri çıkarılır. Kalan kısım, miras bırakanın tasarruf edebileceği kısım olarak kabul edilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Tasarruf edilebilir kısım ne zaman hesaplanır? Answer: Tasarruf edilebilir kısım, terekenin miras bırakanın ölüm günü itibarıyla durumuna göre hesaplanır. Yani, miras bırakanın ölümünden sonra terekenin değeri hesaplanır ve bu değerden miras bırakanın borçları, cenaze giderleri, terekenin mühürlenmesi ve yazımı giderleri, miras bırakan ile birlikte yaşayan ve onun tarafından bakılan kimselerin üç aylık geçim giderleri çıkarılır. Kalan kısım, miras bırakanın tasarruf edebileceği kısım olarak kabul edilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
5,0.3977949369034542,0.0,21.590441886971945,doc_05249_936d14f6_chunk_0,doc_05249_936d14f6,Türk Medeni Kanunu,hukuk,Miras bırakanın mirasının tamamında tasarruf edebilmesi için hangi şartın gerçekleşmesi gerekir?,"Miras bırakanın mirasının tamamında tasarruf edebilmesi için, mirasçı olarak altsoyu, ana ve babası veya eşi olmamalıdır. Yani, miras bırakanın yasal mirasçısı yoksa, tüm mirasını kendi isteğine göre mirasçılarına bırakabilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Miras bırakanın mirasının tamamında tasarruf edebilmesi için hangi şartın gerçekleşmesi gerekir? Answer: Miras bırakanın mirasının tamamında tasarruf edebilmesi için, mirasçı olarak altsoyu, ana ve babası veya eşi olmamalıdır. Yani, miras bırakanın yasal mirasçısı yoksa, tüm mirasını kendi isteğine göre mirasçılarına bırakabilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
