question_idx,question,gold_answer,gold_source,gold_article,legal_domain,difficulty,predicted_answer,retrieved_sources,retrieved_articles,top_chunk_ids,retrieval_count,source_hit,article_hit@1,article_hit@3,article_hit@5,rouge_l,bleu,token_f1,timestamp
0,Anayasa Mahkemesi'ne bireysel başvuru yapılabilmesi için olağan kanun yollarının tüketilme şartı nedir?,"Bireysel başvuru yapılabilmesi için ihlale ilişkin olağan kanun yollarının tüketilmiş olması gerekir. Başvuru, nihai kararın veya başvuru yolunun tüketildiği işlemin öğrenilmesinden sonra kanundaki süre içinde yapılır.",2709 Sayılı Anayasa,,Anayasa Hukuku,easy,"Anayasa Mahkemesi'ne bireysel başvuru yapılabilmesi için olağan kanun yollarının tüketilme şartı **var**. Başvuru sahibi öncelikle diğer yargı yollarını denemiş ve sonuç alamamış olmalıdır. 

**Destek Kaynakları:**

* Türkiye Cumhuriyeti Anayasası","[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00476_196f9fa1_chunk_0"", ""doc_00475_fe9c1832_chunk_0"", ""doc_00486_537b2a73_chunk_0""]",3,False,False,False,False,0.4186,0.2759,0.2642,2026-04-01T20:59:59.033608
1,Milletlerarası antlaşmaların Anayasa'ya aykırılığı iddiasıyla iptal davası açılabilir mi? İstisnaları nelerdir?,Milletlerarası antlaşmaların Anayasa’ya aykırılığı iddiasıyla Anayasa Mahkemesinde iptal davası açılamaz. Usulüne göre yürürlüğe konulmuş temel hak ve özgürlüklere ilişkin antlaşmalarla kanunların çatışması halinde antlaşma hükümleri esas alınır.,2709 Sayılı Anayasa,,Anayasa Hukuku,medium,"Milletlerarası antlaşmaların Anayasa'ya aykırılığı iddiasıyla iptal davası Anayasa Mahkemesi'ne açılabilir. Ancak, Anayasa'nın 90. maddesi uyarınca, Türkiye'nin uluslararası sözleşmelerin yürürlüğe girmesi için gerekli işlemleri tamamlaması durumunda, bu sözleşmeler Anayasa'nın üstünlüğüne rağmen geçerli ve bağlayıcı olur. 

**Destek Kaynakları:**

* Türkiye Cumhuriyeti Anayasası, 90. madde","[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""Bilgi Edinme Kanunu""]","[null, null, null]","[""doc_00489_817f610d_chunk_0"", ""doc_00488_0ec6e7cf_chunk_0"", ""doc_01526_a31e203b_chunk_0""]",3,False,False,False,False,0.3279,0.2143,0.2687,2026-04-01T21:00:08.361820
2,"TBMM Genel Kurulu'nda kabul edilen bir kanunun Cumhurbaşkanı tarafından ""geri gönderilme"" (veto) süreci nasıl işler?","Cumhurbaşkanı, TBMM tarafından kabul edilen kanunu on beş gün içinde yayımlar veya bir daha görüşülmek üzere gerekçesiyle TBMM’ye geri gönderir. TBMM kanunu üye tam sayısının salt çoğunluğuyla aynen kabul ederse Cumhurbaşkanı kanunu yayımlar.",2709 Sayılı Anayasa,,Anayasa Hukuku,easy,,"[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00072_66c28faa_chunk_0"", ""doc_00071_1d88d1f1_chunk_0"", ""doc_00075_d1ce8c72_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:09.217353
3,"Anayasa Mahkemesi'nin ""şekil bakımından"" denetimi neleri kapsar ve dava açma süresi kaç gündür?","Şekil bakımından denetim, kanunlarda son oylamanın öngörülen çoğunlukla yapılıp yapılmadığına; anayasa değişikliklerinde ise teklif ve oylama çoğunluğu ile ivedilikle görüşülememe şartına uyulup uyulmadığına ilişkindir. Şekil bakımından iptal davası, kanunun yayımlanmasından itibaren on gün içinde açılır.",2709 Sayılı Anayasa,,Anayasa Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00468_d24a3af9_chunk_0"", ""doc_00434_506f8bf2_chunk_0"", ""doc_00458_a94268e4_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:10.652627
4,"Kanun Hükmünde Kararnamelerin (KHK) yerini alan ""Cumhurbaşkanlığı Kararnameleri"" hangi konularda düzenlenemez?","Cumhurbaşkanlığı kararnameleri; temel haklar, kişi hakları ve ödevleri ile siyasi haklar ve ödevler alanında düzenleme yapamaz. Kanunda açıkça düzenlenen konularda da kararname çıkarılamaz; kanun ile kararname çatışırsa kanun uygulanır.",2709 Sayılı Anayasa,,Anayasa Hukuku,medium,"Cumhurbaşkanlığı Kararnameleri, temel haklar, kişi hakları ve ödevleri, siyasi haklar ve ödevler, Anayasada münhasıran kanunla düzenlenmesi öngörülen konular ve kanunda açıkça düzenlenen konulara ilişkin **düzenlenemez**.

**Destek Kaynakları:**

* Türkiye Cumhuriyeti Anayasası","[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00929_ffb7ee73_chunk_0"", ""doc_00209_c9533517_chunk_0"", ""doc_00180_ea926362_chunk_0""]",3,False,False,False,False,0.5122,0.4194,0.4074,2026-04-01T21:00:17.142588
5,Yasama sorumsuzluğu ile yasama dokunulmazlığı arasındaki süreklilik farkı nedir?,"Yasama sorumsuzluğu, milletvekilinin Meclis çalışmalarındaki oy ve sözlerinden dolayı hiçbir zaman sorumlu tutulamamasıdır ve süreklidir. Yasama dokunulmazlığı ise milletvekilinin seçimden önce veya sonra işlendiği ileri sürülen suç nedeniyle, Anayasadaki istisnalar dışında, Meclis kararı olmadıkça tutulamaması, sorgulanamaması, tutuklanamaması ve yargılanamamasıdır; kural olarak görev süresine bağlıdır.",2709 Sayılı Anayasa,,Anayasa Hukuku,medium,"Verilen bağlamda yasama sorumsuzluğu ve yasama dokunulmazlığı kavramları hakkında yeterli bilgi bulunmamaktadır. 

Destek kaynakları:

* Türkiye Cumhuriyeti Anayasası","[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrk Medeni Kanunu""]","[null, null, null]","[""doc_01474_2f033f7a_chunk_0"", ""doc_00170_03f8eec2_chunk_0"", ""doc_05052_9cfd556f_chunk_0""]",3,False,False,False,False,0.1778,0.2222,0.1071,2026-04-01T21:00:21.336225
6,"Anayasa Mahkemesi'ne ""itiraz yolu"" (somut norm denetimi) ile başvurabilmek için alt mahkemenin uyması gereken şartlar nelerdir?","Somut norm denetimi için görülmekte olan bir dava bulunmalı, uygulanacak kuralın anayasaya aykırılığı iddia edilmeli veya mahkeme bunu ciddi bulmalıdır. Mahkeme, itirazı ciddi bulursa Anayasa Mahkemesine başvurur ve davayı geri bırakır.",2709 Sayılı Anayasa,,Anayasa Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""Ceza Muhakemesi Kanunu"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00476_196f9fa1_chunk_0"", ""doc_03171_439e5dda_chunk_0"", ""doc_00462_858be31d_chunk_0""]",3,False,False,False,False,0.0417,0.0,0.0,2026-04-01T21:00:22.814237
7,Anayasa Mahkemesi üyelerinin görev süresi kaç yıldır ve bir kişi kaç kez seçilebilir?,Anayasa Mahkemesi üyeleri on iki yıl için seçilir ve bir kimse ikinci kez seçilemez. Üyeler altmış beş yaşını doldurunca emekliye ayrılır.,2709 Sayılı Anayasa,,Anayasa Hukuku,easy,,"[""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131"", ""T\u00fcrkiye Cumhuriyeti Anayasas\u0131""]","[null, null, null]","[""doc_00467_886f9658_chunk_0"", ""doc_00469_0cc1c0b8_chunk_0"", ""doc_00468_d24a3af9_chunk_0""]",3,False,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:23.591410
8,Sözleşmelerde hata (yanılma) nedeniyle iptal hakkının kullanılma süresi nedir?,"Hata sebebiyle sözleşmeyi iptal hakkı, hatanın öğrenildiği tarihten başlayarak bir yıl içinde kullanılmalıdır. Bu süre hak düşürücü süredir.",6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,medium,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Ceza Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_07533_b9daabce_chunk_1"", ""doc_09251_c442cd80_chunk_0"", ""doc_08365_5efb224e_chunk_1""]",3,True,False,False,False,0.0526,0.0,0.0,2026-04-01T21:00:25.011134
9,"Borçlar hukukunda ""temerrüt faizi"" başlangıcı için ihtar şartı hangi durumlarda aranmaz?",Borç muaccel olduğu halde ifa günü taraflarca birlikte belirlenmişse veya sözleşmede saklı tutulmuş bir bildirimle belirlenebiliyorsa ihtar gerekmeden temerrüt gerçekleşir. Borçlu ifayı açıkça reddetmişse de ihtar aranmaz.,6098 Sayılı Türk Borçlar Kanunu,,Borçlar Hukuku,hard,Verilen bağlamda yeterli bilgi yoktur.,"[""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu"", ""T\u00fcrk Bor\u00e7lar Kanunu""]","[null, null, null]","[""doc_08300_c0a76340_chunk_0"", ""doc_09033_e83709fd_chunk_1"", ""doc_08318_bfe80573_chunk_0""]",3,True,False,False,False,0.0,0.0,0.0,2026-04-01T21:00:26.454318
