faiss_index,corpus_row_index,chunk_id,doc_id
0,0,doc_00000_0a3a9aaf_chunk_0,doc_00000_0a3a9aaf
1,1,doc_00001_93cc144a_chunk_0,doc_00001_93cc144a
2,2,doc_00002_67d946eb_chunk_0,doc_00002_67d946eb
3,3,doc_00003_ea4d3168_chunk_0,doc_00003_ea4d3168
4,4,doc_00004_1b3d8e41_chunk_0,doc_00004_1b3d8e41
5,5,doc_00005_c8d5ab1a_chunk_0,doc_00005_c8d5ab1a
6,6,doc_00006_6a0236cf_chunk_0,doc_00006_6a0236cf
7,7,doc_00007_f45573c2_chunk_0,doc_00007_f45573c2
8,8,doc_00008_c89c23f6_chunk_0,doc_00008_c89c23f6
9,9,doc_00009_bc564ae4_chunk_0,doc_00009_bc564ae4
10,10,doc_00010_5aaeb9fa_chunk_0,doc_00010_5aaeb9fa
11,11,doc_00011_86426ee1_chunk_0,doc_00011_86426ee1
12,12,doc_00012_d28bf0c5_chunk_0,doc_00012_d28bf0c5
13,13,doc_00013_1fdc6e3e_chunk_0,doc_00013_1fdc6e3e
14,14,doc_00014_dff808d4_chunk_0,doc_00014_dff808d4
15,15,doc_00015_468fa913_chunk_0,doc_00015_468fa913
16,16,doc_00016_39b60db6_chunk_0,doc_00016_39b60db6
17,17,doc_00017_5d3aa2a7_chunk_0,doc_00017_5d3aa2a7
18,18,doc_00018_63ad2ee8_chunk_0,doc_00018_63ad2ee8
19,19,doc_00019_4ff28958_chunk_0,doc_00019_4ff28958
20,20,doc_00020_a5887d46_chunk_0,doc_00020_a5887d46
21,21,doc_00021_4284fd8e_chunk_0,doc_00021_4284fd8e
22,22,doc_00022_d0b64e47_chunk_0,doc_00022_d0b64e47
23,23,doc_00023_0fe918cc_chunk_0,doc_00023_0fe918cc
24,24,doc_00024_d96299fd_chunk_0,doc_00024_d96299fd
25,25,doc_00025_1f3619eb_chunk_0,doc_00025_1f3619eb
26,26,doc_00026_0ce3d9c4_chunk_0,doc_00026_0ce3d9c4
27,27,doc_00027_ad5e9789_chunk_0,doc_00027_ad5e9789
28,28,doc_00028_69952802_chunk_0,doc_00028_69952802
29,29,doc_00029_290fc3d6_chunk_0,doc_00029_290fc3d6
30,30,doc_00030_728820eb_chunk_0,doc_00030_728820eb
31,31,doc_00031_80e89b8d_chunk_0,doc_00031_80e89b8d
32,32,doc_00032_3f6a601e_chunk_0,doc_00032_3f6a601e
33,33,doc_00033_2eba2e00_chunk_0,doc_00033_2eba2e00
34,34,doc_00034_f3fe3cf9_chunk_0,doc_00034_f3fe3cf9
35,35,doc_00035_f4beb413_chunk_0,doc_00035_f4beb413
36,36,doc_00036_4c6d4501_chunk_0,doc_00036_4c6d4501
37,37,doc_00037_08244605_chunk_0,doc_00037_08244605
38,38,doc_00038_f8579767_chunk_0,doc_00038_f8579767
39,39,doc_00039_69519640_chunk_0,doc_00039_69519640
40,40,doc_00040_16ddc132_chunk_0,doc_00040_16ddc132
41,41,doc_00041_f638377a_chunk_0,doc_00041_f638377a
42,42,doc_00042_1cb2551a_chunk_0,doc_00042_1cb2551a
43,43,doc_00043_b179f152_chunk_0,doc_00043_b179f152
44,44,doc_00044_6ed69854_chunk_0,doc_00044_6ed69854
45,45,doc_00045_1e6684f9_chunk_0,doc_00045_1e6684f9
46,46,doc_00046_095777c9_chunk_0,doc_00046_095777c9
47,47,doc_00047_71e871d8_chunk_0,doc_00047_71e871d8
48,48,doc_00048_f845d4d6_chunk_0,doc_00048_f845d4d6
49,49,doc_00049_36ed81bd_chunk_0,doc_00049_36ed81bd
50,50,doc_00050_bdc5f106_chunk_0,doc_00050_bdc5f106
51,51,doc_00051_ed77394f_chunk_0,doc_00051_ed77394f
52,52,doc_00052_010c573b_chunk_0,doc_00052_010c573b
53,53,doc_00053_04ba5d0c_chunk_0,doc_00053_04ba5d0c
54,54,doc_00054_b6cfec20_chunk_0,doc_00054_b6cfec20
55,55,doc_00055_ca391e0c_chunk_0,doc_00055_ca391e0c
56,56,doc_00056_fa9f24d8_chunk_0,doc_00056_fa9f24d8
57,57,doc_00057_b8e32e67_chunk_0,doc_00057_b8e32e67
58,58,doc_00058_a364c8c7_chunk_0,doc_00058_a364c8c7
59,59,doc_00059_32f7b9e0_chunk_0,doc_00059_32f7b9e0
60,60,doc_00060_83e5d6f1_chunk_0,doc_00060_83e5d6f1
61,61,doc_00061_8cb33286_chunk_0,doc_00061_8cb33286
62,62,doc_00062_5df9d1a1_chunk_0,doc_00062_5df9d1a1
63,63,doc_00063_ba1546a7_chunk_0,doc_00063_ba1546a7
64,64,doc_00064_e26f7095_chunk_0,doc_00064_e26f7095
65,65,doc_00065_68a24105_chunk_0,doc_00065_68a24105
66,66,doc_00066_222c015d_chunk_0,doc_00066_222c015d
67,67,doc_00067_41cac14e_chunk_0,doc_00067_41cac14e
68,68,doc_00068_40c2093e_chunk_0,doc_00068_40c2093e
69,69,doc_00069_f3ceebf6_chunk_0,doc_00069_f3ceebf6
70,70,doc_00070_4b97aebc_chunk_0,doc_00070_4b97aebc
71,71,doc_00071_ff6e33dd_chunk_0,doc_00071_ff6e33dd
72,72,doc_00072_ee37a996_chunk_0,doc_00072_ee37a996
73,73,doc_00073_e0b4525e_chunk_0,doc_00073_e0b4525e
74,74,doc_00074_6351d09a_chunk_0,doc_00074_6351d09a
75,75,doc_00075_21ca84f9_chunk_0,doc_00075_21ca84f9
76,76,doc_00076_07d6e587_chunk_0,doc_00076_07d6e587
77,77,doc_00077_930ab0f0_chunk_0,doc_00077_930ab0f0
78,78,doc_00078_eee597d2_chunk_0,doc_00078_eee597d2
79,79,doc_00079_823c2604_chunk_0,doc_00079_823c2604
80,80,doc_00080_1daaba0c_chunk_0,doc_00080_1daaba0c
81,81,doc_00081_eca02850_chunk_0,doc_00081_eca02850
82,82,doc_00082_210a3461_chunk_0,doc_00082_210a3461
83,83,doc_00083_7c964402_chunk_0,doc_00083_7c964402
84,84,doc_00084_f3734a9c_chunk_0,doc_00084_f3734a9c
85,85,doc_00085_0cdd5c62_chunk_0,doc_00085_0cdd5c62
86,86,doc_00086_5bdcb5e7_chunk_0,doc_00086_5bdcb5e7
87,87,doc_00087_a17d574f_chunk_0,doc_00087_a17d574f
88,88,doc_00088_69c10e43_chunk_0,doc_00088_69c10e43
89,89,doc_00089_36eba485_chunk_0,doc_00089_36eba485
90,90,doc_00090_a61a6cec_chunk_0,doc_00090_a61a6cec
91,91,doc_00091_c7f356a2_chunk_0,doc_00091_c7f356a2
92,92,doc_00092_767ac794_chunk_0,doc_00092_767ac794
93,93,doc_00093_b7e8a39b_chunk_0,doc_00093_b7e8a39b
94,94,doc_00094_d30dd4e1_chunk_0,doc_00094_d30dd4e1
95,95,doc_00095_9e2867f0_chunk_0,doc_00095_9e2867f0
96,96,doc_00096_3be06025_chunk_0,doc_00096_3be06025
97,97,doc_00097_1e812080_chunk_0,doc_00097_1e812080
98,98,doc_00098_2ff13bfb_chunk_0,doc_00098_2ff13bfb
99,99,doc_00099_204bb632_chunk_0,doc_00099_204bb632
100,100,doc_00100_05c0eaa6_chunk_0,doc_00100_05c0eaa6
101,101,doc_00101_9feae7f5_chunk_0,doc_00101_9feae7f5
102,102,doc_00102_f6d74718_chunk_0,doc_00102_f6d74718
