question,answer,source,category,dataset_name,split,quality_score
"Anayasa, Türk Vatanı ve Milletinin ebedi varlığını nasıl güvence altına almayı amaçlıyor?","Anayasa, Türk Vatanı ve Milletinin ebedi varlığını, yani sürekliliğini ve geleceğini güvence altına almayı amaçlıyor. Bunun için, ülkenin bölünmez bütünlüğünü koruyarak ve yönetim sistemini belirleyerek, ülkenin ve halkının geleceğini güvence altına almayı hedefliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, Türkiye Cumhuriyetinin hangi milliyetçilik anlayışını temel alıyor?","Anayasa, Türkiye Cumhuriyetinin kurucusu olan Atatürk'ün belirlediği milliyetçilik anlayışını temel alıyor. Bu anlayış, Türk varlığının ve kültürünün korunması, milli birlik ve beraberliğin sağlanması gibi temel değerlere dayanıyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, Türkiye Cumhuriyetini hangi konumda tanımlıyor?","Anayasa, Türkiye Cumhuriyetini dünya milletleri ailesinin eşit haklara sahip, şerefli bir üyesi olarak tanımlıyor. Bu, Türkiye'nin uluslararası arenada eşitlikçi ve saygılı bir konumda olduğunu vurguluyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9
"Anayasa, Türkiye Cumhuriyetinin hangi hedeflere ulaşmasını amaçlıyor?","Anayasa, Türkiye Cumhuriyetinin ebedi varlığını, refahını, maddi ve manevi mutluluğunu ve çağdaş medeniyet düzeyine ulaşma azmini hedefliyor. Yani, ülkenin sürekliliğini sağlamak, halkının refahını artırmak, mutluluklarını sağlamak ve modern dünyaya entegre olmasını amaçlıyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9
"Anayasa, egemenliğin kime ait olduğunu nasıl belirtiyor?","Anayasa, egemenliğin kayıtsız şartsız Türk Milletine ait olduğunu belirtiyor. Bu, hiçbir kişi veya kuruluşun halkın iradesi dışında yönetim yetkisini kullanamayacağı anlamına geliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,10
"Anayasa, millet iradesinin nasıl kullanılacağını nasıl düzenliyor?","Anayasa, millet iradesinin hürriyetçi demokrasi ve hukuk düzeni çerçevesinde kullanılacağını belirtiyor. Yani, halkın iradesi özgürlükçü bir ortamda ve yasalar çerçevesinde, şeffaf ve hesap verebilir bir şekilde kullanılmalıdır.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Kuvvetler ayrılığı ilkesi, Anayasa'da nasıl tanımlanıyor?","Anayasa, Kuvvetler ayrılığı ilkesini, Devlet organları arasında üstünlük sıralaması anlamına gelmeyen, sadece görev bölümü ve iş birliği olarak tanımlıyor. Yani, her organ kendi görevini yapar ve diğerleriyle iş birliği yaparak dengeli bir yönetim sistemi oluşturur.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, ülkenin en üst yetkisinin nerede olduğunu nasıl belirtiyor?","Anayasa, ülkenin en üst yetkisinin sadece Anayasa ve kanunlarda bulunduğunu belirtiyor. Yani, hiçbir kişi veya kuruluş, Anayasa ve kanunların üzerinde bir yetkiye sahip değildir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, hangi milli değerlerin korunmasını amaçlıyor?","Anayasa, Türk milli menfaatlerini, Türk varlığını, Devleti ve ülkesiyle bölünmezliği, Türklüğün tarihi ve manevi değerlerini, Atatürk milliyetçiliği, ilke ve inkılapları ve medeniyetçiliğini korumayı amaçlıyor. Bu, ülkenin milli kimliğini, kültürel mirasını ve değerlerini korumayı hedefliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9
Anayasa'da laiklik ilkesinin önemi nedir?,"Anayasa, laiklik ilkesini belirterek, hiçbir faaliyetin din duygularını devlet işlerine ve politikaya karıştırmasına izin vermez. Bu, din ve devlet işlerinin ayrılmasını ve herkesin vicdan özgürlüğüne sahip olmasını sağlamak için önemlidir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, her Türk vatandaşının hangi haklara sahip olduğunu belirtiyor?","Anayasa, her Türk vatandaşının temel hak ve hürriyetlerden eşitlik ve sosyal adalet gereklerince yararlanarak milli kültür, medeniyet ve hukuk düzeni içinde onurlu bir hayat sürdürme ve maddi ve manevi varlığını geliştirme hak ve yetkisine sahip olduğunu vurguluyor. Bu, insanların eşitlik, özgürlük ve adil bir toplumda yaşamalarını sağlamayı hedefliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, Türk vatandaşları arasında hangi temel değerlerin geçerli olduğunu vurguluyor?","Anayasa, Türk vatandaşlarının milli gurur, sevinç, keder, hak, ödev, nimet ve külfetlerde ortak olduğunu ve birbirlerine saygı, sevgi ve kardeşlik duygusuyla hareket etmesini ve barışçıl bir hayat arzulamasını vurguluyor. Bu, toplumda birlik, beraberlik, dayanışma, kardeşlik ve barışın temel değerler olduğunu belirtiyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9
"Anayasa, nasıl yorumlanıp uygulanmalıdır?","Anayasa, fikir, inanç ve kararlarla anlaşılmalı ve içeriğine ve ruhuna saygı duyularak yorumlanıp uygulanmalıdır. Bu, Anayasa'nın demokratik ilkeler doğrultusunda ve hukukun üstünlüğüne uygun şekilde yorumlanıp uygulanmasını sağlamak için önemlidir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8
"Anayasa, kime emanet ediliyor?","Anayasa, Türk Milleti tarafından oluşturulur ve demokrasiye aşık Türk evlatlarının vatan ve millet sevgisine emanet edilir. Yani, Anayasa halkın iradesinin ürünüdür ve gelecek nesillere devredilen önemli bir miras olarak kabul edilir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,7
