rank,similarity_score,chunk_id,doc_id,source,category,question,answer,chunk_text,test_query_index,test_query_text
1,0.7005964517593384,doc_08831_088fa685_chunk_0,doc_08831_088fa685,Türk Borçlar Kanunu,hukuk,Sebepsiz zenginleşme ile ilgili hangi hukuka aykırı sonuçlar ortaya çıkabilir?,"Sebepsiz zenginleşme ile ilgili hukuka aykırı sonuçlar, örneğin bir suçun işlenmesi veya haksız rekabetin ortaya çıkması gibi durumlar olabilir. Örneğin, bir kişi, başkasının malını çalarak zenginleşirse, bu durum hem haksız zenginleşme hem de hırsızlık suçuna yol açabilir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Sebepsiz zenginleşme ile ilgili hangi hukuka aykırı sonuçlar ortaya çıkabilir? Answer: Sebepsiz zenginleşme ile ilgili hukuka aykırı sonuçlar, örneğin bir suçun işlenmesi veya haksız rekabetin ortaya çıkması gibi durumlar olabilir. Örneğin, bir kişi, başkasının malını çalarak zenginleşirse, bu durum hem haksız zenginleşme hem de hırsızlık suçuna yol açabilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
2,0.6863272190093994,doc_08875_53c2cc7e_chunk_1,doc_08875_53c2cc7e,Türk Borçlar Kanunu,hukuk,Haksız zenginleşme ile ilgili hangi sorunlar ortaya çıkabilir?,"Haksız zenginleşmenin tespiti, haksız zenginleşmenin geri verilmesi kapsamının belirlenmesi, zamanaşımının hesaplanması, iyi niyetin ispatı gibi sorunlar ortaya çıkabilir. Haksız zenginleşmenin tespiti, haksız zenginleşmenin gerçekleşip gerçekleşmediğinin belirlenmesi, haksız zenginleşen kişinin kim olduğu, haksız zenginleşmenin nedeni ve haksız zenginleşmenin büyüklüğünün belirlenmesi gibi konuları içerir. Haksız zenginleşmenin geri verilmesi kapsamının belirlenmesi, haksız zenginleşen kişinin ne kadar geri vermesi gerektiğinin belirlenmesi gibi konuları içerir. Zamanaşımının hesaplanması, talep hakkının zamanaşımına uğrayıp uğramadığının belirlenmesi gibi konuları içerir. İyi niyetin ispatı, haksız zenginleşen kişinin, zenginleşmenin haksız olduğunu bilmeden elde edip etmediğinin belirlenmesi gibi konuları içerir.","naşımının hesaplanması, talep hakkının zamanaşımına uğrayıp uğramadığının belirlenmesi gibi konuları içerir. İyi niyetin ispatı, haksız zenginleşen kişinin, zenginleşmenin haksız olduğunu bilmeden elde edip etmediğinin belirlenmesi gibi konuları içerir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
3,0.679739236831665,doc_06946_4d69a544_chunk_0,doc_06946_4d69a544,Türk Medeni Kanunu,hukuk,"Hediye aynen veya mislen geri verilemiyorsa, sebepsiz zenginleşme hükümleri neden uygulanır?","Sebepsiz zenginleşme hükümleri, bir tarafın diğerinin kaybından faydalanmasını engellemek ve adaletli bir denge oluşturmak için uygulanır.","Source: Türk Medeni Kanunu Category: hukuk Question: Hediye aynen veya mislen geri verilemiyorsa, sebepsiz zenginleşme hükümleri neden uygulanır? Answer: Sebepsiz zenginleşme hükümleri, bir tarafın diğerinin kaybından faydalanmasını engellemek ve adaletli bir denge oluşturmak için uygulanır.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
4,0.6789677143096924,doc_08850_92bd892d_chunk_1,doc_08850_92bd892d,Türk Borçlar Kanunu,hukuk,Haksız zenginleşen kişi yaptığı masrafları geri isteyebilir mi?,"Haksız zenginleşen kişi, iyi niyetli ise, yaptığı zorunlu ve yararlı giderleri geri verme isteminde bulunan kişiden isteyebilir. Türk Borçlar Kanunu'nun 80. maddesine göre, zenginleşen iyiniyetli ise, yaptığı zorunlu ve yararlı giderleri, geri verme isteminde bulunandan isteyebilir. Ancak, zenginleşen iyiniyetli değilse, zorunlu giderlerinin ve yararlı giderlerinden sadece geri verme zamanında mevcut olan değer artışının ödenmesini isteyebilir. Yani, kişinin iyi niyetle, yani zenginleşmenin haksız olduğunu bilmeden, yaptığı zorunlu ve yararlı giderleri geri isteme hakkı vardır. Ancak, kötü niyetle, yani zenginleşmenin haksız olduğunu bilerek, yaptığı giderleri geri isteme hakkı yoktur. Bu durumda, yalnızca geri verme zamanında mevcut olan değer artışını geri isteyebilir.","kkı vardır. Ancak, kötü niyetle, yani zenginleşmenin haksız olduğunu bilerek, yaptığı giderleri geri isteme hakkı yoktur. Bu durumda, yalnızca geri verme zamanında mevcut olan değer artışını geri isteyebilir.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
5,0.6647820472717285,doc_03362_adeae514_chunk_0,doc_03362_adeae514,Ceza Muhakemesi Kanunu,hukuk,Müsadere kararı hangi amaçla verilir?,"Müsadere kararının amacı, suçtan elde edilen veya suçun işlenmesinde kullanılan malvarlığının devlete devredilmesi ve suçun ekonomik olarak cezalandırılmasıdır. Yani, suçtan elde edilen gelirin devlete devredilmesi ve suçu işleyen kişilerin ekonomik olarak cezalandırılması amaçlanır.","Source: Ceza Muhakemesi Kanunu Category: hukuk Question: Müsadere kararı hangi amaçla verilir? Answer: Müsadere kararının amacı, suçtan elde edilen veya suçun işlenmesinde kullanılan malvarlığının devlete devredilmesi ve suçun ekonomik olarak cezalandırılmasıdır. Yani, suçtan elde edilen gelirin devlete devredilmesi ve suçu işleyen kişilerin ekonomik olarak cezalandırılması amaçlanır.",1,Haksız zenginleşme ile ilgili hükümler nelerdir?
1,0.7134948968887329,doc_05427_2989d6d2_chunk_1,doc_05427_2989d6d2,Türk Medeni Kanunu,hukuk,Ölüme bağlı bir tasarrufun geçersiz sayılabileceği durumlar nelerdir?,"Bir ölüme bağlı tasarruf, bazı durumlarda geçersiz sayılabilir. Bunlar arasında, miras bırakıcının tasarruf ehliyeti olmaması, tasarrufun yanılma, aldatma, korkutma veya zorlama sonucunda yapılmış olması, tasarrufun içeriğinin hukuka veya ahlâka aykırı olması veya tasarrufun kanunda öngörülen şekillere uyulmadan yapılmış olması sayılabilir. Örneğin, miras bırakıcının akıl sağlığı yerinde değilse veya tasarrufu yaparken zorlama veya aldatmaya maruz kalmışsa, tasarruf geçersiz olabilir. Ayrıca, tasarrufun hukuka aykırı olması da geçersizliğine neden olabilir. Örneğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.","neğin, miras bırakıcının mal varlığını tamamen bir hayır kurumuna bırakması, ancak saklı pay hakkına sahip mirasçıları olması durumunda, bu tasarruf kısmen geçersiz olabilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
2,0.6675558090209961,doc_05585_2713a421_chunk_1,doc_05585_2713a421,Türk Medeni Kanunu,hukuk,Bir kişinin ölümü üzerine varlıklarının ve borçlarının nasıl yönetildiği ve mirasçıların haklarının ne olduğu ile ilgili temel hukuki prensipler nelerdir?,"Miras Hukuku, bir kişinin ölümü üzerine varlıklarının ve borçlarının nasıl yönetildiği ve mirasçıların haklarının ne olduğu ile ilgili temel hukuki prensipleri ele alır. Bu prensipler, mirasın korunması, mirasın kazanılması ve mirasın reddedilmesi gibi konuları kapsar. Ölen kişinin varlıkları ve borçları, miras olarak mirasçılarına geçer ve miras hukuku, bu varlıkların nasıl dağıtılacağı ve borçların nasıl ödeneceği konusunda belirli kurallar sağlar. Mirasçılar, mirasın tamamını devralmayı kabul edebilirler veya reddedebilirler. Mirasın korunması, mirasçıların haklarını korumak ve mirasın değerini korumak için alınan önlemlerdir. Mirasın kazanılması, mirasçılara mirasın nasıl geçeceği ve mirasçılar üzerindeki hakların neler olduğu ile ilgilidir. Mirasın reddedilmesi, mirasçıların mirasın tamamını devralmayı istemedikleri durumlarda uygulanır.","amamını devralmayı kabul edebilirler veya reddedebilirler. Mirasın korunması, mirasçıların haklarını korumak ve mirasın değerini korumak için alınan önlemlerdir. Mirasın kazanılması, mirasçılara mirasın nasıl geçeceği ve mirasçılar üzerindeki hakların neler olduğu ile ilgilidir. Mirasın reddedilmesi, mirasçıların mirasın tamamını devralmayı istemedikleri durumlarda uygulanır.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
3,0.6457403898239136,doc_05307_bfed07c8_chunk_0,doc_05307_bfed07c8,Türk Medeni Kanunu,hukuk,Çıkarma sebebi tasarrufta belirtilmemiş veya sebebin varlığı ispat edilememişse tasarruf nasıl yerine getirilir?,"Sebebin varlığı ispat edilememiş veya çıkarma sebebi tasarrufta belirtilmemişse tasarruf, mirasçının saklı payı dışında yerine getirilir. Yani, çıkarma sebebi kanıtlanamadığı takdirde, mirasçı miras payını alır, ancak bu pay saklı payı oranından düşük olabilir. Saklı payın dışında kalan kısımda, miras bırakanın tasarrufları geçerli kabul edilir.","Source: Türk Medeni Kanunu Category: hukuk Question: Çıkarma sebebi tasarrufta belirtilmemiş veya sebebin varlığı ispat edilememişse tasarruf nasıl yerine getirilir? Answer: Sebebin varlığı ispat edilememiş veya çıkarma sebebi tasarrufta belirtilmemişse tasarruf, mirasçının saklı payı dışında yerine getirilir. Yani, çıkarma sebebi kanıtlanamadığı takdirde, mirasçı miras payını alır, ancak bu pay saklı payı oranından düşük olabilir. Saklı payın dışında kalan kısımda, miras bırakanın tasarrufları geçerli kabul edilir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
4,0.6394121646881104,doc_05400_b69b0f3b_chunk_0,doc_05400_b69b0f3b,Türk Medeni Kanunu,hukuk,Bir mirasçının saklı pay hakkı hangi durumlarda zedelenebilir?,"Mirasçının saklı pay hakkı, mirasbırakanın tasarruf edebileceği kısmı aşan tasarruflar yapması durumunda zedelenebilir. Örneğin, mirasbırakanın tüm malvarlığını başka birine bırakarak mirasçılarını tamamen mirasından mahrum bırakması veya saklı paylarını aşacak şekilde mirasçıları arasında malvarlığını dağıtması durumlarında saklı pay zedelenmiş olur.","Source: Türk Medeni Kanunu Category: hukuk Question: Bir mirasçının saklı pay hakkı hangi durumlarda zedelenebilir? Answer: Mirasçının saklı pay hakkı, mirasbırakanın tasarruf edebileceği kısmı aşan tasarruflar yapması durumunda zedelenebilir. Örneğin, mirasbırakanın tüm malvarlığını başka birine bırakarak mirasçılarını tamamen mirasından mahrum bırakması veya saklı paylarını aşacak şekilde mirasçıları arasında malvarlığını dağıtması durumlarında saklı pay zedelenmiş olur.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
5,0.6313492059707642,doc_08946_1c899f8f_chunk_0,doc_08946_1c899f8f,Türk Borçlar Kanunu,hukuk,"Saklayan, saklanan mislî eşya veya kıymetli evrak üzerinde tasarrufta bulunabilir mi?","Saklayan, saklatan tarafından kendisine açıkça yetki verilmedikçe, saklanan diğer mislî eşya veya kıymetli evrak üzerinde tasarrufta bulunamaz. Bu, saklayanın, saklatanın izni olmadan saklanan eşyaların değerini kullanma veya artırma hakkına sahip olmadığını gösterir.","Source: Türk Borçlar Kanunu Category: hukuk Question: Saklayan, saklanan mislî eşya veya kıymetli evrak üzerinde tasarrufta bulunabilir mi? Answer: Saklayan, saklatan tarafından kendisine açıkça yetki verilmedikçe, saklanan diğer mislî eşya veya kıymetli evrak üzerinde tasarrufta bulunamaz. Bu, saklayanın, saklatanın izni olmadan saklanan eşyaların değerini kullanma veya artırma hakkına sahip olmadığını gösterir.",2,Miras bırakanın tasarruf özgürlüğü nasıl sınırlandırılır?
