test_query_index,rank,chunk_id,hybrid_score,dense_score,bm25_score,dense_rank,bm25_rank
1,1,doc_08831_088fa685_chunk_0,0.8241827034249323,0.7005964517593384,21.88642925866105,1.0,2.0
1,2,doc_08869_bcd59b52_chunk_0,0.5,0.0,25.83624297603503,,1.0
1,3,doc_08875_53c2cc7e_chunk_1,0.4155940724966241,0.6863272190093994,0.0,2.0,
1,4,doc_06946_4d69a544_chunk_0,0.3766245808755866,0.679739236831665,0.0,3.0,
1,5,doc_08850_92bd892d_chunk_1,0.372060840470054,0.6789677143096924,0.0,4.0,
2,1,doc_05427_2989d6d2_chunk_1,0.5,0.7134948968887329,0.0,1.0,
2,2,doc_05311_ecc9bb1b_chunk_0,0.5,0.0,22.860149741123497,,1.0
2,3,doc_05299_c707d08d_chunk_0,0.4985579240017924,0.6194385290145874,21.323692841008267,2.0,4.0
2,4,doc_05297_e576c608_chunk_0,0.446445239184967,0.0,22.194831425436714,,2.0
2,5,doc_05249_936d14f6_chunk_0,0.3977949369034542,0.0,21.590441886971945,,3.0
3,1,doc_01749_7ce25189_chunk_0,0.5,0.0,16.31559776223101,,1.0
3,2,doc_01885_c414418e_chunk_0,0.5,0.8081365823745728,0.0,1.0,
3,3,doc_02037_535d6daf_chunk_0,0.44238597631072313,0.8026819229125977,8.678434319517564,2.0,2.0
3,4,doc_01917_6be9c3f9_chunk_0,0.41439488087998094,0.800031840801239,0.0,3.0,
3,5,doc_01934_ce84e322_chunk_0,0.3834580501864142,0.7971028685569763,0.0,4.0,
4,1,doc_00711_a31eccd9_chunk_0,1.0,0.687275230884552,11.243033772050115,1.0,1.0
4,2,doc_07104_55be37fe_chunk_1,0.47666410324124436,0.0,11.140128710015652,,2.0
4,3,doc_00736_843f16c1_chunk_0,0.45347404352026816,0.6798756718635559,0.0,2.0,
4,4,doc_01832_91dd9642_chunk_0,0.3928337560723828,0.0,10.770459304765753,,3.0
4,5,doc_12367_90b09ad3_chunk_0,0.3591615804432914,0.0,10.621974018009121,,4.0
5,1,doc_04673_fa598a10_chunk_0,0.5,0.0,27.748820306049883,,1.0
5,2,doc_05192_7eb9ceb3_chunk_0,0.5,0.693462610244751,0.0,1.0,
5,3,doc_04643_664ff7b1_chunk_0,0.37716495029464425,0.0,24.59431724249065,,2.0
5,4,doc_05296_c3ec5dcc_chunk_0,0.3408361920685712,0.6737171411514282,0.0,2.0,
5,5,doc_04641_d7c4e970_chunk_0,0.29365065200646895,0.0,22.44960276211248,,3.0
