doc_id,chunk_id,chunk_index,original_row_index,question,answer,source,category,dataset_name,split,quality_score,full_text,chunk_text,text_length,chunk_length,n_chunks
doc_00000_0a3a9aaf,doc_00000_0a3a9aaf_chunk_0,0,0,"Anayasa, Türk Vatanı ve Milletinin ebedi varlığını nasıl güvence altına almayı amaçlıyor?","Anayasa, Türk Vatanı ve Milletinin ebedi varlığını, yani sürekliliğini ve geleceğini güvence altına almayı amaçlıyor. Bunun için, ülkenin bölünmez bütünlüğünü koruyarak ve yönetim sistemini belirleyerek, ülkenin ve halkının geleceğini güvence altına almayı hedefliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türk Vatanı ve Milletinin ebedi varlığını nasıl güvence altına almayı amaçlıyor? Answer: Anayasa, Türk Vatanı ve Milletinin ebedi varlığını, yani sürekliliğini ve geleceğini güvence altına almayı amaçlıyor. Bunun için, ülkenin bölünmez bütünlüğünü koruyarak ve yönetim sistemini belirleyerek, ülkenin ve halkının geleceğini güvence altına almayı hedefliyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türk Vatanı ve Milletinin ebedi varlığını nasıl güvence altına almayı amaçlıyor? Answer: Anayasa, Türk Vatanı ve Milletinin ebedi varlığını, yani sürekliliğini ve geleceğini güvence altına almayı amaçlıyor. Bunun için, ülkenin bölünmez bütünlüğünü koruyarak ve yönetim sistemini belirleyerek, ülkenin ve halkının geleceğini güvence altına almayı hedefliyor.",430,430,1
doc_00001_93cc144a,doc_00001_93cc144a_chunk_0,0,1,"Anayasa, Türkiye Cumhuriyetinin hangi milliyetçilik anlayışını temel alıyor?","Anayasa, Türkiye Cumhuriyetinin kurucusu olan Atatürk'ün belirlediği milliyetçilik anlayışını temel alıyor. Bu anlayış, Türk varlığının ve kültürünün korunması, milli birlik ve beraberliğin sağlanması gibi temel değerlere dayanıyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetinin hangi milliyetçilik anlayışını temel alıyor? Answer: Anayasa, Türkiye Cumhuriyetinin kurucusu olan Atatürk'ün belirlediği milliyetçilik anlayışını temel alıyor. Bu anlayış, Türk varlığının ve kültürünün korunması, milli birlik ve beraberliğin sağlanması gibi temel değerlere dayanıyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetinin hangi milliyetçilik anlayışını temel alıyor? Answer: Anayasa, Türkiye Cumhuriyetinin kurucusu olan Atatürk'ün belirlediği milliyetçilik anlayışını temel alıyor. Bu anlayış, Türk varlığının ve kültürünün korunması, milli birlik ve beraberliğin sağlanması gibi temel değerlere dayanıyor.",381,381,1
doc_00002_67d946eb,doc_00002_67d946eb_chunk_0,0,2,"Anayasa, Türkiye Cumhuriyetini hangi konumda tanımlıyor?","Anayasa, Türkiye Cumhuriyetini dünya milletleri ailesinin eşit haklara sahip, şerefli bir üyesi olarak tanımlıyor. Bu, Türkiye'nin uluslararası arenada eşitlikçi ve saygılı bir konumda olduğunu vurguluyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetini hangi konumda tanımlıyor? Answer: Anayasa, Türkiye Cumhuriyetini dünya milletleri ailesinin eşit haklara sahip, şerefli bir üyesi olarak tanımlıyor. Bu, Türkiye'nin uluslararası arenada eşitlikçi ve saygılı bir konumda olduğunu vurguluyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetini hangi konumda tanımlıyor? Answer: Anayasa, Türkiye Cumhuriyetini dünya milletleri ailesinin eşit haklara sahip, şerefli bir üyesi olarak tanımlıyor. Bu, Türkiye'nin uluslararası arenada eşitlikçi ve saygılı bir konumda olduğunu vurguluyor.",334,334,1
doc_00003_ea4d3168,doc_00003_ea4d3168_chunk_0,0,3,"Anayasa, Türkiye Cumhuriyetinin hangi hedeflere ulaşmasını amaçlıyor?","Anayasa, Türkiye Cumhuriyetinin ebedi varlığını, refahını, maddi ve manevi mutluluğunu ve çağdaş medeniyet düzeyine ulaşma azmini hedefliyor. Yani, ülkenin sürekliliğini sağlamak, halkının refahını artırmak, mutluluklarını sağlamak ve modern dünyaya entegre olmasını amaçlıyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetinin hangi hedeflere ulaşmasını amaçlıyor? Answer: Anayasa, Türkiye Cumhuriyetinin ebedi varlığını, refahını, maddi ve manevi mutluluğunu ve çağdaş medeniyet düzeyine ulaşma azmini hedefliyor. Yani, ülkenin sürekliliğini sağlamak, halkının refahını artırmak, mutluluklarını sağlamak ve modern dünyaya entegre olmasını amaçlıyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, Türkiye Cumhuriyetinin hangi hedeflere ulaşmasını amaçlıyor? Answer: Anayasa, Türkiye Cumhuriyetinin ebedi varlığını, refahını, maddi ve manevi mutluluğunu ve çağdaş medeniyet düzeyine ulaşma azmini hedefliyor. Yani, ülkenin sürekliliğini sağlamak, halkının refahını artırmak, mutluluklarını sağlamak ve modern dünyaya entegre olmasını amaçlıyor.",419,419,1
doc_00004_1b3d8e41,doc_00004_1b3d8e41_chunk_0,0,4,"Anayasa, egemenliğin kime ait olduğunu nasıl belirtiyor?","Anayasa, egemenliğin kayıtsız şartsız Türk Milletine ait olduğunu belirtiyor. Bu, hiçbir kişi veya kuruluşun halkın iradesi dışında yönetim yetkisini kullanamayacağı anlamına geliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,10.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, egemenliğin kime ait olduğunu nasıl belirtiyor? Answer: Anayasa, egemenliğin kayıtsız şartsız Türk Milletine ait olduğunu belirtiyor. Bu, hiçbir kişi veya kuruluşun halkın iradesi dışında yönetim yetkisini kullanamayacağı anlamına geliyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, egemenliğin kime ait olduğunu nasıl belirtiyor? Answer: Anayasa, egemenliğin kayıtsız şartsız Türk Milletine ait olduğunu belirtiyor. Bu, hiçbir kişi veya kuruluşun halkın iradesi dışında yönetim yetkisini kullanamayacağı anlamına geliyor.",312,312,1
doc_00005_c8d5ab1a,doc_00005_c8d5ab1a_chunk_0,0,5,"Anayasa, millet iradesinin nasıl kullanılacağını nasıl düzenliyor?","Anayasa, millet iradesinin hürriyetçi demokrasi ve hukuk düzeni çerçevesinde kullanılacağını belirtiyor. Yani, halkın iradesi özgürlükçü bir ortamda ve yasalar çerçevesinde, şeffaf ve hesap verebilir bir şekilde kullanılmalıdır.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, millet iradesinin nasıl kullanılacağını nasıl düzenliyor? Answer: Anayasa, millet iradesinin hürriyetçi demokrasi ve hukuk düzeni çerçevesinde kullanılacağını belirtiyor. Yani, halkın iradesi özgürlükçü bir ortamda ve yasalar çerçevesinde, şeffaf ve hesap verebilir bir şekilde kullanılmalıdır.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, millet iradesinin nasıl kullanılacağını nasıl düzenliyor? Answer: Anayasa, millet iradesinin hürriyetçi demokrasi ve hukuk düzeni çerçevesinde kullanılacağını belirtiyor. Yani, halkın iradesi özgürlükçü bir ortamda ve yasalar çerçevesinde, şeffaf ve hesap verebilir bir şekilde kullanılmalıdır.",367,367,1
doc_00006_6a0236cf,doc_00006_6a0236cf_chunk_0,0,6,"Kuvvetler ayrılığı ilkesi, Anayasa'da nasıl tanımlanıyor?","Anayasa, Kuvvetler ayrılığı ilkesini, Devlet organları arasında üstünlük sıralaması anlamına gelmeyen, sadece görev bölümü ve iş birliği olarak tanımlıyor. Yani, her organ kendi görevini yapar ve diğerleriyle iş birliği yaparak dengeli bir yönetim sistemi oluşturur.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Kuvvetler ayrılığı ilkesi, Anayasa'da nasıl tanımlanıyor? Answer: Anayasa, Kuvvetler ayrılığı ilkesini, Devlet organları arasında üstünlük sıralaması anlamına gelmeyen, sadece görev bölümü ve iş birliği olarak tanımlıyor. Yani, her organ kendi görevini yapar ve diğerleriyle iş birliği yaparak dengeli bir yönetim sistemi oluşturur.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Kuvvetler ayrılığı ilkesi, Anayasa'da nasıl tanımlanıyor? Answer: Anayasa, Kuvvetler ayrılığı ilkesini, Devlet organları arasında üstünlük sıralaması anlamına gelmeyen, sadece görev bölümü ve iş birliği olarak tanımlıyor. Yani, her organ kendi görevini yapar ve diğerleriyle iş birliği yaparak dengeli bir yönetim sistemi oluşturur.",396,396,1
doc_00007_f45573c2,doc_00007_f45573c2_chunk_0,0,7,"Anayasa, ülkenin en üst yetkisinin nerede olduğunu nasıl belirtiyor?","Anayasa, ülkenin en üst yetkisinin sadece Anayasa ve kanunlarda bulunduğunu belirtiyor. Yani, hiçbir kişi veya kuruluş, Anayasa ve kanunların üzerinde bir yetkiye sahip değildir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, ülkenin en üst yetkisinin nerede olduğunu nasıl belirtiyor? Answer: Anayasa, ülkenin en üst yetkisinin sadece Anayasa ve kanunlarda bulunduğunu belirtiyor. Yani, hiçbir kişi veya kuruluş, Anayasa ve kanunların üzerinde bir yetkiye sahip değildir.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, ülkenin en üst yetkisinin nerede olduğunu nasıl belirtiyor? Answer: Anayasa, ülkenin en üst yetkisinin sadece Anayasa ve kanunlarda bulunduğunu belirtiyor. Yani, hiçbir kişi veya kuruluş, Anayasa ve kanunların üzerinde bir yetkiye sahip değildir.",319,319,1
doc_00008_c89c23f6,doc_00008_c89c23f6_chunk_0,0,8,"Anayasa, hangi milli değerlerin korunmasını amaçlıyor?","Anayasa, Türk milli menfaatlerini, Türk varlığını, Devleti ve ülkesiyle bölünmezliği, Türklüğün tarihi ve manevi değerlerini, Atatürk milliyetçiliği, ilke ve inkılapları ve medeniyetçiliğini korumayı amaçlıyor. Bu, ülkenin milli kimliğini, kültürel mirasını ve değerlerini korumayı hedefliyor.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,9.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, hangi milli değerlerin korunmasını amaçlıyor? Answer: Anayasa, Türk milli menfaatlerini, Türk varlığını, Devleti ve ülkesiyle bölünmezliği, Türklüğün tarihi ve manevi değerlerini, Atatürk milliyetçiliği, ilke ve inkılapları ve medeniyetçiliğini korumayı amaçlıyor. Bu, ülkenin milli kimliğini, kültürel mirasını ve değerlerini korumayı hedefliyor.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa, hangi milli değerlerin korunmasını amaçlıyor? Answer: Anayasa, Türk milli menfaatlerini, Türk varlığını, Devleti ve ülkesiyle bölünmezliği, Türklüğün tarihi ve manevi değerlerini, Atatürk milliyetçiliği, ilke ve inkılapları ve medeniyetçiliğini korumayı amaçlıyor. Bu, ülkenin milli kimliğini, kültürel mirasını ve değerlerini korumayı hedefliyor.",420,420,1
doc_00009_bc564ae4,doc_00009_bc564ae4_chunk_0,0,9,Anayasa'da laiklik ilkesinin önemi nedir?,"Anayasa, laiklik ilkesini belirterek, hiçbir faaliyetin din duygularını devlet işlerine ve politikaya karıştırmasına izin vermez. Bu, din ve devlet işlerinin ayrılmasını ve herkesin vicdan özgürlüğüne sahip olmasını sağlamak için önemlidir.",Türkiye Cumhuriyeti Anayasası,hukuk,batuhankalem/turkish-law-dataset-for-llm-finetuning,train,8.0,"Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa'da laiklik ilkesinin önemi nedir? Answer: Anayasa, laiklik ilkesini belirterek, hiçbir faaliyetin din duygularını devlet işlerine ve politikaya karıştırmasına izin vermez. Bu, din ve devlet işlerinin ayrılmasını ve herkesin vicdan özgürlüğüne sahip olmasını sağlamak için önemlidir.","Source: Türkiye Cumhuriyeti Anayasası Category: hukuk Question: Anayasa'da laiklik ilkesinin önemi nedir? Answer: Anayasa, laiklik ilkesini belirterek, hiçbir faaliyetin din duygularını devlet işlerine ve politikaya karıştırmasına izin vermez. Bu, din ve devlet işlerinin ayrılmasını ve herkesin vicdan özgürlüğüne sahip olmasını sağlamak için önemlidir.",354,354,1
